IMDB ID,Title,Actors,Writer,Genre,Plot
tt1225901,90210,"Shenae Grimes-Beech, Tristan Mack Wilds, AnnaLynne McCord, Jessica Stroup","Darren Star, Jeff Judah, Gabe Sachs, Rob Thomas","Comedy, Drama, Romance","A Kansas family relocates to Beverly Hills, where their two children adapt to the infamous social drama of West Beverly Hills High."
tt7235466,.9-1-1,"Angela Bassett, Peter Krause, Oliver Stark, Aisha Hinds","Brad Falchuk, Tim Minear, Ryan Murphy","Action, Drama, Thriller","Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking and heart-stopping situations."
tt1837492,13 Reasons Why,"Caleb Pilkenton, Michael Sadler, Dylan Minnette, Christian Navarro",Brian Yorkey,"Drama, Mystery","Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life."
tt0021580,24 Hours,"Clive Brook, Kay Francis, Miriam Hopkins, Regis Toomey","Louis Weitzenkorn, Louis Bromfield, William C. Lengle, Lew Levenson ",Drama,"A nightclub singer is carrying on an affair with a married man. When she is found murdered, her lover is suspected of the crime."
tt0496424,30 Rock,"Tina Fey, Tracy Morgan, Jack McBrayer, Scott Adsit",Tina Fey,Comedy,"Liz Lemon, head writer of the sketch comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star, all while trying to run a successful television show without losing her mind."
tt5754602,4 Blocks,"Kida Khodr Ramadan, Almila Bagriacik, Veysel Gelin, Maryam Zaree",  ,"Crime, Drama","Based in Neukölln, Berlin Toni manages the daily business of dealing with the Arabic gangs and ends up wanting to leave his old life behind for his family, but as expected, its never that simple."
tt4834206,A Series of Unfortunate Events,"Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes",  ,"Adventure, Comedy, Drama, Family, Mystery","After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets."
tt3475734,Agent Carter,"Hayley Atwell, James D'Arcy, Enver Gjokaj, Chad Michael Murray","Christopher Markus, Stephen McFeely","Action, Adventure, Sci-Fi","In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis."
tt2261227,Altered Carbon,"Chris Conner, Renée Elise Goldsberry, Joel Kinnaman, James Purefoy",Laeta Kalogridis,"Action, Drama, Sci-Fi, Thriller","Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom."
tt2788432,American Crime Story,"Sterling K. Brown, Kenneth Choi, Christian Clemenson, Cuba Gooding Jr.","Scott Alexander, Larry Karaszewski, Tom Rob Smith","Biography, Crime, Drama",An anthology series centered around America's most notorious crimes and criminals.
tt1898069,American Gods,"Ricky Whittle, Emily Browning, Crispin Glover, Bruce Langley","Bryan Fuller, Michael Green","Drama, Fantasy, Mystery","A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past."
tt1844624,American Horror Story,"Evan Peters, Sarah Paulson, Denis O'Hare, Kathy Bates","Brad Falchuk, Ryan Murphy","Drama, Horror, Thriller","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show, a hotel, a possessed farmhouse, a cult, and the apocalypse."
tt5421602,Anne,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela",Moira Walley-Beckett,Drama,"The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels."
tt5354314,Aokana: Four Rhythm Across the Blue,"Anastasia Munoz, Jill Harris, Amanda Lee, Cristina Valenzuela",  ,"Animation, Drama, Sci-Fi, Sport","Set in a world where people can take to the skies, soaring above land and sea, an area called the Four Islands Archipelago has a technology called Grav-Shoes, which allow the wearer to fly...."
tt0367279,Arrested Development,"Jason Bateman, Portia de Rossi, Will Arnett, Michael Cera",Mitchell Hurwitz,Comedy,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
tt2193021,Arrow,"Stephen Amell, David Ramsey, Emily Bett Rickards, Katie Cassidy","Greg Berlanti, Marc Guggenheim, Andrew Kreisberg","Action, Adventure, Crime, Drama, Mystery, Sci-Fi","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
tt4288182,Atlanta,"Donald Glover, Brian Tyree Henry, LaKeith Stanfield, Zazie Beetz",Donald Glover,"Comedy, Drama, Music","Based in Atlanta, Earn and his cousin Alfred are trying to make their way up in the world through the rap scene. Along the way they come face to face with social and economic issues ..."
tt6315640,Atypical,"Jennifer Jason Leigh, Keir Gilchrist, Brigette Lundy-Paine, Amy Okuda",Robia Rashid,"Comedy, Drama","Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence."
